Country/Area,Item1,Purpose,Year,Overnight Stays
Canada,Fukushima,Overall,2019,670
Canada,Fukushima,Overall,2020,120
Canada,Fukushima,Overall,2021,170
Canada,Fukushima,Overall,2022,220
Canada,Fukushima,Overall,2023,930
Canada,Gifu,Overall,2019,"8,030"
Canada,Gifu,Overall,2020,620
Canada,Gifu,Overall,2021,"1,750"
Canada,Gifu,Overall,2022,850
Canada,Gifu,Overall,2023,"6,910"
Canada,Gunma,Overall,2019,"2,000"
Canada,Gunma,Overall,2020,500
Canada,Gunma,Overall,2021,20
Canada,Gunma,Overall,2022,250
Canada,Gunma,Overall,2023,"3,790"
Canada,Hiroshima,Overall,2019,"20,820"
Canada,Hiroshima,Overall,2020,"1,910"
Canada,Hiroshima,Overall,2021,170
Canada,Hiroshima,Overall,2022,"1,560"
Canada,Hiroshima,Overall,2023,"23,550"
Canada,Hokkaido,Overall,2019,"30,890"
Canada,Hokkaido,Overall,2020,"8,800"
Canada,Hokkaido,Overall,2021,"1,020"
Canada,Hokkaido,Overall,2022,"4,090"
Canada,Hokkaido,Overall,2023,"35,410"
Canada,Hyogo,Overall,2019,"10,770"
Canada,Hyogo,Overall,2020,"1,230"
Canada,Hyogo,Overall,2021,50
Canada,Hyogo,Overall,2022,"1,800"
Canada,Hyogo,Overall,2023,"12,110"
Canada,Ibaraki,Overall,2019,"1,210"
Canada,Ibaraki,Overall,2020,170
Canada,Ibaraki,Overall,2021,30
Canada,Ibaraki,Overall,2022,330
Canada,Ibaraki,Overall,2023,"2,340"
Canada,Ishikawa,Overall,2019,"11,590"
Canada,Ishikawa,Overall,2020,"1,550"
Canada,Ishikawa,Overall,2021,20
Canada,Ishikawa,Overall,2022,"1,570"
Canada,Ishikawa,Overall,2023,"20,950"
Canada,Iwate,Overall,2019,"1,290"
Canada,Iwate,Overall,2020,580
Canada,Iwate,Overall,2021,580
Canada,Iwate,Overall,2022,150
Canada,Iwate,Overall,2023,"1,780"
Canada,Kagawa,Overall,2019,"3,910"
Canada,Kagawa,Overall,2020,240
Canada,Kagawa,Overall,2021,50
Canada,Kagawa,Overall,2022,390
Canada,Kagawa,Overall,2023,"2,890"
Canada,Kagoshima,Overall,2019,"4,890"
Canada,Kagoshima,Overall,2020,660
Canada,Kagoshima,Overall,2021,50
Canada,Kagoshima,Overall,2022,600
Canada,Kagoshima,Overall,2023,"3,940"
Canada,Kanagawa,Overall,2019,"51,960"
Canada,Kanagawa,Overall,2020,"8,760"
Canada,Kanagawa,Overall,2021,800
Canada,Kanagawa,Overall,2022,"5,200"
Canada,Kanagawa,Overall,2023,"52,570"
Canada,Kochi,Overall,2019,590
Canada,Kochi,Overall,2020,80
Canada,Kochi,Overall,2021,10
Canada,Kochi,Overall,2022,60
Canada,Kochi,Overall,2023,920
Canada,Kumamoto,Overall,2019,"4,380"
Canada,Kumamoto,Overall,2020,650
Canada,Kumamoto,Overall,2021,20
Canada,Kumamoto,Overall,2022,520
Canada,Kumamoto,Overall,2023,"4,940"
Canada,Kyoto,Overall,2019,"172,180"
Canada,Kyoto,Overall,2020,"17,610"
Canada,Kyoto,Overall,2021,490
Canada,Kyoto,Overall,2022,"22,220"
Canada,Kyoto,Overall,2023,"242,690"
Canada,Mie,Overall,2019,"1,990"
Canada,Mie,Overall,2020,210
Canada,Mie,Overall,2021,420
Canada,Mie,Overall,2022,380
Canada,Mie,Overall,2023,"1,740"
Canada,Miyagi,Overall,2019,"5,310"
Canada,Miyagi,Overall,2020,470
Canada,Miyagi,Overall,2021,240
Canada,Miyagi,Overall,2022,420
Canada,Miyagi,Overall,2023,"4,910"
Canada,Miyazaki,Overall,2019,"1,110"
Canada,Miyazaki,Overall,2020,180
Canada,Miyazaki,Overall,2021,50
Canada,Miyazaki,Overall,2022,130
Canada,Miyazaki,Overall,2023,750
Canada,Nagano,Overall,2019,"9,370"
Canada,Nagano,Overall,2020,"2,230"
Canada,Nagano,Overall,2021,40
Canada,Nagano,Overall,2022,"1,150"
Canada,Nagano,Overall,2023,"10,270"
Canada,Nagasaki,Overall,2019,"3,660"
Canada,Nagasaki,Overall,2020,400
Canada,Nagasaki,Overall,2021,220
Canada,Nagasaki,Overall,2022,280
Canada,Nagasaki,Overall,2023,"2,860"
Canada,Nara,Overall,2019,"4,140"
Canada,Nara,Overall,2020,420
Canada,Nara,Overall,2021,40
Canada,Nara,Overall,2022,420
Canada,Nara,Overall,2023,"4,490"
Canada,Niigata,Overall,2019,"2,190"
Canada,Niigata,Overall,2020,760
Canada,Niigata,Overall,2021,"1,800"
Canada,Niigata,Overall,2022,310
Canada,Niigata,Overall,2023,"2,590"
Canada,Oita,Overall,2019,"4,180"
Canada,Oita,Overall,2020,470
Canada,Oita,Overall,2021,30
Canada,Oita,Overall,2022,330
Canada,Oita,Overall,2023,"3,750"
Canada,Okayama,Overall,2019,"4,140"
Canada,Okayama,Overall,2020,580
Canada,Okayama,Overall,2021,220
Canada,Okayama,Overall,2022,730
Canada,Okayama,Overall,2023,"4,130"
Canada,Okinawa,Overall,2019,"23,650"
Canada,Okinawa,Overall,2020,"6,290"
Canada,Okinawa,Overall,2021,160
Canada,Okinawa,Overall,2022,"4,270"
Canada,Okinawa,Overall,2023,"18,660"
Canada,Osaka,Overall,2019,"122,300"
Canada,Osaka,Overall,2020,"13,860"
Canada,Osaka,Overall,2021,850
Canada,Osaka,Overall,2022,"17,070"
Canada,Osaka,Overall,2023,"218,550"
Canada,Saga,Overall,2019,630
Canada,Saga,Overall,2020,70
Canada,Saga,Overall,2021,10
Canada,Saga,Overall,2022,90
Canada,Saga,Overall,2023,570
Canada,Saitama,Overall,2019,"2,980"
Canada,Saitama,Overall,2020,330
Canada,Saitama,Overall,2021,250
Canada,Saitama,Overall,2022,300
Canada,Saitama,Overall,2023,"1,770"
Canada,Shiga,Overall,2019,"2,810"
Canada,Shiga,Overall,2020,270
Canada,Shiga,Overall,2021,20
Canada,Shiga,Overall,2022,230
Canada,Shiga,Overall,2023,"2,250"
Canada,Shimane,Overall,2019,460
Canada,Shimane,Overall,2020,50
Canada,Shimane,Overall,2021,10
Canada,Shimane,Overall,2022,90
Canada,Shimane,Overall,2023,450
Canada,Shizuoka,Overall,2019,"7,780"
Canada,Shizuoka,Overall,2020,630
Canada,Shizuoka,Overall,2021,"1,660"
Canada,Shizuoka,Overall,2022,"1,230"
Canada,Shizuoka,Overall,2023,"10,380"
Canada,Tochigi,Overall,2019,"3,830"
Canada,Tochigi,Overall,2020,340
Canada,Tochigi,Overall,2021,40
Canada,Tochigi,Overall,2022,860
Canada,Tochigi,Overall,2023,"4,250"
Canada,Tokushima,Overall,2019,980
Canada,Tokushima,Overall,2020,110
Canada,Tokushima,Overall,2021,20
Canada,Tokushima,Overall,2022,190
Canada,Tokushima,Overall,2023,"1,240"
Canada,Tokyo,Overall,2019,"504,910"
Canada,Tokyo,Overall,2020,"70,370"
Canada,Tokyo,Overall,2021,"29,630"
Canada,Tokyo,Overall,2022,"97,510"
Canada,Tokyo,Overall,2023,"862,680"
Canada,Tottori,Overall,2019,"1,460"
Canada,Tottori,Overall,2020,220
Canada,Tottori,Overall,2021,10
Canada,Tottori,Overall,2022,60
Canada,Tottori,Overall,2023,490
Canada,Toyama,Overall,2019,"1,220"
Canada,Toyama,Overall,2020,220
Canada,Toyama,Overall,2021,20
Canada,Toyama,Overall,2022,170
Canada,Toyama,Overall,2023,"1,430"
Canada,Wakayama,Overall,2019,"3,580"
Canada,Wakayama,Overall,2020,490
Canada,Wakayama,Overall,2021,20
Canada,Wakayama,Overall,2022,290
Canada,Wakayama,Overall,2023,"2,470"
Canada,Yamagata,Overall,2019,980
Canada,Yamagata,Overall,2020,210
Canada,Yamagata,Overall,2021,40
Canada,Yamagata,Overall,2022,230
Canada,Yamagata,Overall,2023,"1,380"
Canada,Yamaguchi,Overall,2019,"1,070"
Canada,Yamaguchi,Overall,2020,270
Canada,Yamaguchi,Overall,2021,0
Canada,Yamaguchi,Overall,2022,100
Canada,Yamaguchi,Overall,2023,610
Canada,Yamanashi,Overall,2019,"8,060"
Canada,Yamanashi,Overall,2020,"1,150"
Canada,Yamanashi,Overall,2021,150
Canada,Yamanashi,Overall,2022,"1,020"
Canada,Yamanashi,Overall,2023,"11,120"
China,Aichi,Overall,2019,"1,795,800"
China,Aichi,Overall,2020,"219,930"
China,Aichi,Overall,2021,"9,170"
China,Aichi,Overall,2022,"25,670"
China,Aichi,Overall,2023,"267,780"
China,Akita,Overall,2019,"13,700"
China,Akita,Overall,2020,"1,970"
China,Akita,Overall,2021,490
China,Akita,Overall,2022,"1,270"
China,Akita,Overall,2023,"8,290"
China,Aomori,Overall,2019,"64,710"
China,Aomori,Overall,2020,"14,490"
China,Aomori,Overall,2021,950
China,Aomori,Overall,2022,"2,580"
China,Aomori,Overall,2023,"29,100"
China,Chiba,Overall,2019,"1,889,020"
China,Chiba,Overall,2020,"234,360"
China,Chiba,Overall,2021,"75,250"
China,Chiba,Overall,2022,"70,720"
China,Chiba,Overall,2023,"305,430"
China,Ehime,Overall,2019,"29,540"
China,Ehime,Overall,2020,"4,390"
China,Ehime,Overall,2021,"2,990"
China,Ehime,Overall,2022,"1,210"
China,Ehime,Overall,2023,"13,400"
China,Fukui,Overall,2019,"14,740"
China,Fukui,Overall,2020,"2,750"
China,Fukui,Overall,2021,560
China,Fukui,Overall,2022,620
China,Fukui,Overall,2023,"5,100"
China,Fukuoka,Overall,2019,"556,490"
China,Fukuoka,Overall,2020,"86,690"
China,Fukuoka,Overall,2021,"5,550"
China,Fukuoka,Overall,2022,"26,930"
China,Fukuoka,Overall,2023,"322,140"
China,Fukushima,Overall,2019,"22,170"
China,Fukushima,Overall,2020,"4,010"
China,Fukushima,Overall,2021,"1,480"
China,Fukushima,Overall,2022,"2,200"
China,Fukushima,Overall,2023,"14,040"
China,Gifu,Overall,2019,"526,700"
China,Gifu,Overall,2020,"47,420"
China,Gifu,Overall,2021,"2,200"
China,Gifu,Overall,2022,"2,450"
China,Gifu,Overall,2023,"37,850"
China,Gunma,Overall,2019,"36,950"
China,Gunma,Overall,2020,"9,810"
China,Gunma,Overall,2021,"2,610"
China,Gunma,Overall,2022,"3,030"
China,Gunma,Overall,2023,"23,650"
China,Hiroshima,Overall,2019,"91,490"
China,Hiroshima,Overall,2020,"14,370"
China,Hiroshima,Overall,2021,"2,360"
China,Hiroshima,Overall,2022,"4,670"
China,Hiroshima,Overall,2023,"36,820"
China,Hokkaido,Overall,2019,"2,164,320"
China,Hokkaido,Overall,2020,"576,780"
China,Hokkaido,Overall,2021,"5,680"
China,Hokkaido,Overall,2022,"47,450"
China,Hokkaido,Overall,2023,"421,690"
China,Hyogo,Overall,2019,"431,290"
China,Hyogo,Overall,2020,"53,820"
China,Hyogo,Overall,2021,"4,240"
China,Hyogo,Overall,2022,"8,770"
China,Hyogo,Overall,2023,"139,080"
China,Ibaraki,Overall,2019,"52,870"
China,Ibaraki,Overall,2020,"6,500"
China,Ibaraki,Overall,2021,"1,340"
China,Ibaraki,Overall,2022,"2,460"
China,Ibaraki,Overall,2023,"19,200"
China,Ishikawa,Overall,2019,"109,130"
China,Ishikawa,Overall,2020,"24,980"
China,Ishikawa,Overall,2021,"1,090"
China,Ishikawa,Overall,2022,"4,540"
China,Ishikawa,Overall,2023,"59,890"
China,Iwate,Overall,2019,"60,510"
China,Iwate,Overall,2020,"12,550"
China,Iwate,Overall,2021,"1,160"
China,Iwate,Overall,2022,"2,080"
