Country/Area,Item1,Purpose,Year,Overnight Stays
China,Gunma,Overall,2021,"2,610"
China,Gunma,Overall,2022,"3,030"
China,Gunma,Overall,2023,"23,650"
China,Hiroshima,Overall,2021,"2,360"
China,Hiroshima,Overall,2022,"4,670"
China,Hiroshima,Overall,2023,"36,820"
China,Hokkaido,Overall,2021,"5,680"
China,Hokkaido,Overall,2022,"47,450"
China,Hokkaido,Overall,2023,"421,690"
China,Hyogo,Overall,2021,"4,240"
China,Hyogo,Overall,2022,"8,770"
China,Hyogo,Overall,2023,"139,080"
China,Ibaraki,Overall,2021,"1,340"
China,Ibaraki,Overall,2022,"2,460"
China,Ibaraki,Overall,2023,"19,200"
China,Ishikawa,Overall,2021,"1,090"
China,Ishikawa,Overall,2022,"4,540"
China,Ishikawa,Overall,2023,"59,890"
China,Iwate,Overall,2021,"1,160"
China,Iwate,Overall,2022,"2,080"
China,Iwate,Overall,2023,"15,030"
China,Kagawa,Overall,2021,990
China,Kagawa,Overall,2022,"1,770"
China,Kagawa,Overall,2023,"34,430"
China,Kagoshima,Overall,2021,910
China,Kagoshima,Overall,2022,"1,850"
China,Kagoshima,Overall,2023,"32,360"
China,Kanagawa,Overall,2021,"7,470"
China,Kanagawa,Overall,2022,"29,730"
China,Kanagawa,Overall,2023,"340,830"
China,Kochi,Overall,2021,190
China,Kochi,Overall,2022,560
China,Kochi,Overall,2023,"7,910"
China,Kumamoto,Overall,2021,"1,100"
China,Kumamoto,Overall,2022,"3,100"
China,Kumamoto,Overall,2023,"59,130"
China,Kyoto,Overall,2021,"9,960"
China,Kyoto,Overall,2022,"67,360"
China,Kyoto,Overall,2023,"1,187,710"
China,Mie,Overall,2021,"2,590"
China,Mie,Overall,2022,"3,170"
China,Mie,Overall,2023,"19,390"
China,Miyagi,Overall,2021,"4,510"
China,Miyagi,Overall,2022,"5,020"
China,Miyagi,Overall,2023,"43,880"
China,Miyazaki,Overall,2021,300
China,Miyazaki,Overall,2022,"1,250"
China,Miyazaki,Overall,2023,"10,270"
China,Nagano,Overall,2021,"2,900"
China,Nagano,Overall,2022,"7,480"
China,Nagano,Overall,2023,"68,520"
China,Nagasaki,Overall,2021,"1,200"
China,Nagasaki,Overall,2022,"3,760"
China,Nagasaki,Overall,2023,"22,260"
China,Nara,Overall,2021,780
China,Nara,Overall,2022,"2,110"
China,Nara,Overall,2023,"48,560"
China,Niigata,Overall,2021,"2,000"
China,Niigata,Overall,2022,"6,260"
China,Niigata,Overall,2023,"30,610"
China,Oita,Overall,2021,"1,170"
China,Oita,Overall,2022,"2,430"
China,Oita,Overall,2023,"51,660"
China,Okayama,Overall,2021,"2,840"
China,Okayama,Overall,2022,"3,500"
China,Okayama,Overall,2023,"31,660"
China,Okinawa,Overall,2021,"6,180"
China,Okinawa,Overall,2022,"11,810"
China,Okinawa,Overall,2023,"139,770"
China,Osaka,Overall,2021,"25,550"
China,Osaka,Overall,2022,"139,260"
China,Osaka,Overall,2023,"2,334,820"
China,Saga,Overall,2021,220
China,Saga,Overall,2022,"1,390"
China,Saga,Overall,2023,"15,200"
China,Saitama,Overall,2021,"2,370"
China,Saitama,Overall,2022,"4,990"
China,Saitama,Overall,2023,"22,680"
China,Shiga,Overall,2021,"2,960"
China,Shiga,Overall,2022,"3,770"
China,Shiga,Overall,2023,"27,230"
China,Shimane,Overall,2021,990
China,Shimane,Overall,2022,480
China,Shimane,Overall,2023,"6,460"
China,Shizuoka,Overall,2021,"6,260"
China,Shizuoka,Overall,2022,"11,180"
China,Shizuoka,Overall,2023,"151,880"
China,Tochigi,Overall,2021,"2,910"
China,Tochigi,Overall,2022,"3,080"
China,Tochigi,Overall,2023,"28,950"
China,Tokushima,Overall,2021,350
China,Tokushima,Overall,2022,890
China,Tokushima,Overall,2023,"7,370"
China,Tokyo,Overall,2021,"116,900"
China,Tokyo,Overall,2022,"454,710"
China,Tokyo,Overall,2023,"4,271,550"
China,Tottori,Overall,2021,310
China,Tottori,Overall,2022,570
China,Tottori,Overall,2023,"9,490"
China,Toyama,Overall,2021,"1,020"
China,Toyama,Overall,2022,"2,080"
China,Toyama,Overall,2023,"15,110"
China,Wakayama,Overall,2021,500
China,Wakayama,Overall,2022,"2,230"
China,Wakayama,Overall,2023,"58,840"
China,Yamagata,Overall,2021,"2,070"
China,Yamagata,Overall,2022,"3,120"
China,Yamagata,Overall,2023,"11,750"
China,Yamaguchi,Overall,2021,"1,910"
China,Yamaguchi,Overall,2022,"1,130"
China,Yamaguchi,Overall,2023,"5,540"
China,Yamanashi,Overall,2021,"1,140"
China,Yamanashi,Overall,2022,"5,050"
China,Yamanashi,Overall,2023,"97,090"
France,Aichi,Overall,2021,330
France,Aichi,Overall,2022,"2,560"
France,Aichi,Overall,2023,"20,300"
France,Akita,Overall,2021,30
France,Akita,Overall,2022,150
France,Akita,Overall,2023,980
France,Aomori,Overall,2021,310
France,Aomori,Overall,2022,220
France,Aomori,Overall,2023,"2,450"
France,Chiba,Overall,2021,"1,580"
France,Chiba,Overall,2022,"3,330"
France,Chiba,Overall,2023,"16,790"
France,Ehime,Overall,2021,70
France,Ehime,Overall,2022,260
France,Ehime,Overall,2023,"2,830"
France,Fukui,Overall,2021,30
France,Fukui,Overall,2022,80
France,Fukui,Overall,2023,410
France,Fukuoka,Overall,2021,280
France,Fukuoka,Overall,2022,"1,870"
France,Fukuoka,Overall,2023,"18,890"
France,Fukushima,Overall,2021,60
France,Fukushima,Overall,2022,580
France,Fukushima,Overall,2023,"1,700"
France,Gifu,Overall,2021,140
France,Gifu,Overall,2022,"1,640"
France,Gifu,Overall,2023,"19,850"
France,Gunma,Overall,2021,80
France,Gunma,Overall,2022,230
France,Gunma,Overall,2023,"2,690"
France,Hiroshima,Overall,2021,80
France,Hiroshima,Overall,2022,"3,520"
France,Hiroshima,Overall,2023,"53,680"
France,Hokkaido,Overall,2021,710
France,Hokkaido,Overall,2022,"2,640"
France,Hokkaido,Overall,2023,"16,380"
France,Hyogo,Overall,2021,"1,170"
France,Hyogo,Overall,2022,"2,630"
France,Hyogo,Overall,2023,"20,780"
France,Ibaraki,Overall,2021,230
France,Ibaraki,Overall,2022,530
France,Ibaraki,Overall,2023,"3,810"
France,Ishikawa,Overall,2021,"1,370"
France,Ishikawa,Overall,2022,"2,470"
France,Ishikawa,Overall,2023,"35,830"
France,Iwate,Overall,2021,40
France,Iwate,Overall,2022,210
France,Iwate,Overall,2023,"1,590"
France,Kagawa,Overall,2021,140
France,Kagawa,Overall,2022,670
France,Kagawa,Overall,2023,"5,540"
France,Kagoshima,Overall,2021,760
France,Kagoshima,Overall,2022,970
France,Kagoshima,Overall,2023,"4,400"
